hospital,score,top_keywords,n_review,keyword_coverage,keyword_freq,keyword_matched
CL성형외과의원,2.0,친절,2,1.0,{'친절': 1},['친절']
유진상내과의원,2.0,"친절,추천,자세한 설명",35,1.0,"{'친절': 13, '추천': 6, '자세한 설명': 10}","['친절', '추천', '자세한 설명']"
석계정신과의원,2.0,비쌈,6,1.0,{'비쌈': 1},['비쌈']
푸른치과의원,2.0,"친절,청결",2,1.0,"{'친절': 1, '청결': 1}","['친절', '청결']"
윤세훈치과의원,2.0,"친절,과잉진료,비쌈",6,1.0,"{'친절': 5, '과잉진료': 2, '비쌈': 2}","['친절', '과잉진료', '비쌈']"
임지연소아청소년과의원,2.0,"친절,대기시간",4,1.0,"{'친절': 1, '대기시간': 1}","['친절', '대기시간']"
홍한의원,2.0,"자세한 설명,친절,시설",4,1.0,"{'자세한 설명': 1, '친절': 2, '시설': 1}","['자세한 설명', '친절', '시설']"
예손치과의원,1.5,"친절,청결,자세한 설명",1,1.0,"{'친절': 2, '청결': 1, '자세한 설명': 2}","['친절', '청결', '자세한 설명']"
우리가족한의원,1.5,"친절,자세한 설명,비쌈",4,1.0,"{'친절': 1, '자세한 설명': 1, '비쌈': 1}","['친절', '자세한 설명', '비쌈']"
안수민치과의원,1.5,"친절,대기시간,과잉진료",4,1.0,"{'친절': 2, '대기시간': 1, '과잉진료': 1}","['친절', '대기시간', '과잉진료']"
연세차오름의원,1.5,자세한 설명,1,1.0,{'자세한 설명': 2},['자세한 설명']
하나이비인후과의원,1.5,"대기시간,자세한 설명,신속",4,1.0,"{'대기시간': 13, '자세한 설명': 28, '신속': 4}","['대기시간', '자세한 설명', '신속']"
김명선내과의원,1.5,"대기시간,과잉진료,친절",1,1.0,"{'대기시간': 6, '과잉진료': 2, '친절': 20}","['대기시간', '과잉진료', '친절']"
나종보치과의원,1.5,"친절,자세한 설명,대기시간",1,1.0,"{'친절': 4, '자세한 설명': 4, '대기시간': 2}","['친절', '자세한 설명', '대기시간']"
나철한의원,1.5,"대기시간,친절,자세한 설명",1,1.0,"{'대기시간': 2, '친절': 8, '자세한 설명': 1}","['대기시간', '친절', '자세한 설명']"
서울미르한방병원,1.5,"친절,청결",1,1.0,"{'친절': 3, '청결': 1}","['친절', '청결']"
평화내과의원,1.5,"대기시간,자세한 설명,친절",1,1.0,"{'대기시간': 5, '자세한 설명': 3, '친절': 9}","['대기시간', '자세한 설명', '친절']"
서울참좋은치과의원,1.5,"자세한 설명,청결,친절",1,1.0,"{'자세한 설명': 12, '청결': 8, '친절': 12}","['자세한 설명', '청결', '친절']"
필치과의원,1.5,"청결,친절,자세한 설명",1,1.0,"{'청결': 3, '친절': 3, '자세한 설명': 4}","['청결', '친절', '자세한 설명']"
온누리정형외과의원,1.5,"대기시간,자세한 설명,친절",1,1.0,"{'대기시간': 4, '자세한 설명': 5, '친절': 10}","['대기시간', '자세한 설명', '친절']"
오케이재활의학과의원,1.5,"청결,시설",1,1.0,"{'청결': 1, '시설': 1}","['청결', '시설']"
형제한의원,1.5,"대기시간,친절,자세한 설명",1,1.0,"{'대기시간': 6, '친절': 12, '자세한 설명': 6}","['대기시간', '친절', '자세한 설명']"
조성욱치과의원,1.5,"자세한 설명,대기시간,과잉진료",4,1.0,"{'자세한 설명': 6, '대기시간': 12, '과잉진료': 1}","['자세한 설명', '대기시간', '과잉진료']"
메이저성형외과의원,1.5,"친절,자세한 설명,대기시간",1,1.0,"{'친절': 4, '자세한 설명': 2, '대기시간': 2}","['친절', '자세한 설명', '대기시간']"
장현대치과의원,1.5,"대기시간,과잉진료,친절",1,1.0,"{'대기시간': 3, '과잉진료': 1, '친절': 4}","['대기시간', '과잉진료', '친절']"
바른몸한의원,1.5,"친절,청결,대기시간",8,1.0,"{'친절': 10, '청결': 2, '대기시간': 2}","['친절', '청결', '대기시간']"
은사한의원,1.5,"친절,청결",10,1.0,"{'친절': 5, '청결': 3}","['친절', '청결']"
늘빛한의원,1.5,"친절,청결,자세한 설명",1,1.0,"{'친절': 6, '청결': 4, '자세한 설명': 2}","['친절', '청결', '자세한 설명']"
이민녕성형외과의원,1.5,"친절,자세한 설명,대기시간",1,1.0,"{'친절': 15, '자세한 설명': 9, '대기시간': 6}","['친절', '자세한 설명', '대기시간']"
노원성모정형외과의원,1.5,"대기시간,친절,자세한 설명",10,1.0,"{'대기시간': 10, '친절': 28, '자세한 설명': 14}","['대기시간', '친절', '자세한 설명']"
달라스치과의원,1.5,"자세한 설명,청결,친절",1,1.0,"{'자세한 설명': 3, '청결': 2, '친절': 5}","['자세한 설명', '청결', '친절']"
이레한의원,1.5,"친절,비쌈",1,1.0,"{'친절': 1, '비쌈': 1}","['친절', '비쌈']"
로덴치과병원,1.5,"비쌈,불친절,대기시간",1,1.0,"{'비쌈': 8, '불친절': 2, '대기시간': 4}","['비쌈', '불친절', '대기시간']"
전성일정신건강의학과의원,1.5,"친절,자세한 설명,추천",4,1.0,"{'친절': 2, '자세한 설명': 1, '추천': 1}","['친절', '자세한 설명', '추천']"
인우치과의원,1.5,"자세한 설명,대기시간,과잉진료",1,1.0,"{'자세한 설명': 11, '대기시간': 3, '과잉진료': 1}","['자세한 설명', '대기시간', '과잉진료']"
우솔한의원,1.5,"대기시간,친절,자세한 설명",1,1.0,"{'대기시간': 2, '친절': 2, '자세한 설명': 2}","['대기시간', '친절', '자세한 설명']"
서우정한의원,1.5,"자세한 설명,친절,청결",1,1.0,"{'자세한 설명': 4, '친절': 4, '청결': 2}","['자세한 설명', '친절', '청결']"
연세고마운치과의원,1.5,"친절,과잉진료,청결",1,1.0,"{'친절': 18, '과잉진료': 6, '청결': 10}","['친절', '과잉진료', '청결']"
공릉 참편한 의원,1.5,"친절,자세한 설명,대기시간",1,1.0,"{'친절': 20, '자세한 설명': 7, '대기시간': 3}","['친절', '자세한 설명', '대기시간']"
한양치과의원,1.5,"과잉진료,시설,친절",1,1.0,"{'과잉진료': 2, '시설': 4, '친절': 14}","['과잉진료', '시설', '친절']"
톡톡경희한의원 성북점,1.5,"친절,자세한 설명,청결",1,1.0,"{'친절': 2, '자세한 설명': 2, '청결': 2}","['친절', '자세한 설명', '청결']"
오른치과의원,1.0,"친절,비쌈,과잉진료",9,1.0,"{'친절': 4, '비쌈': 3, '과잉진료': 1}","['친절', '비쌈', '과잉진료']"
석계항맥외과의원,1.0,"친절,시설,추천",3,1.0,"{'친절': 3, '시설': 1, '추천': 1}","['친절', '시설', '추천']"
한림한의원,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 4, '자세한 설명': 2, '청결': 4}","['친절', '자세한 설명', '청결']"
우주가정의학과의원,1.0,"친절,시설,대기시간",3,1.0,"{'친절': 3, '시설': 2, '대기시간': 1}","['친절', '시설', '대기시간']"
서울용치과의원,1.0,"친절,청결",3,0.5,"{'친절': 1, '청결': 0}",['친절']
고운이치과의원,1.0,친절,3,1.0,{'친절': 1},['친절']
블리비의원,1.0,,1,0.0,{'nan': 0},[]
최소아과의원,1.0,"친절,대기시간,청결",3,1.0,"{'친절': 5, '대기시간': 3, '청결': 1}","['친절', '대기시간', '청결']"
노아치과의원,1.0,"친절,청결,자세한 설명",1,1.0,"{'친절': 4, '청결': 2, '자세한 설명': 6}","['친절', '청결', '자세한 설명']"
대한치과의원,1.0,"대기시간,친절,자세한 설명",1,1.0,"{'대기시간': 3, '친절': 1, '자세한 설명': 2}","['대기시간', '친절', '자세한 설명']"
더봄치과의원,1.0,"청결,친절,자세한 설명",1,1.0,"{'청결': 4, '친절': 2, '자세한 설명': 2}","['청결', '친절', '자세한 설명']"
김기범이비인후과의원,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 8, '자세한 설명': 10, '청결': 8}","['친절', '자세한 설명', '청결']"
김태진치과의원,1.0,"친절,자세한 설명",1,1.0,"{'친절': 2, '자세한 설명': 1}","['친절', '자세한 설명']"
서울으뜸치과의원,1.0,"친절,청결,시설",1,1.0,"{'친절': 1, '청결': 2, '시설': 1}","['친절', '청결', '시설']"
서울제일한방병원,1.0,,1,0.0,{'nan': 0},[]
성심바른치과,1.0,"친절,불친절,자세한 설명",1,1.0,"{'친절': 5, '불친절': 1, '자세한 설명': 5}","['친절', '불친절', '자세한 설명']"
한솔치과의원,1.0,"자세한 설명,대기시간,친절",3,1.0,"{'자세한 설명': 2, '대기시간': 1, '친절': 1}","['자세한 설명', '대기시간', '친절']"
한세외과의원,1.0,"청결,친절,시설",3,1.0,"{'청결': 2, '친절': 1, '시설': 1}","['청결', '친절', '시설']"
수광한의원,1.0,"대기시간,친절,추천",1,1.0,"{'대기시간': 1, '친절': 3, '추천': 1}","['대기시간', '친절', '추천']"
세이유외과의원,1.0,"대기시간,친절,자세한 설명",5,1.0,"{'대기시간': 3, '친절': 6, '자세한 설명': 1}","['대기시간', '친절', '자세한 설명']"
성북중앙병원,1.0,"친절,자세한 설명,비쌈",1,1.0,"{'친절': 6, '자세한 설명': 3, '비쌈': 3}","['친절', '자세한 설명', '비쌈']"
해율한의원 노원점,1.0,"친절,비쌈,자세한 설명",3,1.0,"{'친절': 1, '비쌈': 2, '자세한 설명': 1}","['친절', '비쌈', '자세한 설명']"
연세산부인과의원,1.0,"시설,자세한 설명,대기시간",3,1.0,"{'시설': 2, '자세한 설명': 1, '대기시간': 1}","['시설', '자세한 설명', '대기시간']"
안암엘와이엔치과의원,1.0,"친절,자세한 설명,과잉진료",1,1.0,"{'친절': 7, '자세한 설명': 6, '과잉진료': 2}","['친절', '자세한 설명', '과잉진료']"
아비쥬의원 노원점,1.0,"친절,대기시간,비쌈",27,1.0,"{'친절': 6, '대기시간': 4, '비쌈': 4}","['친절', '대기시간', '비쌈']"
안아픈세상한의원,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 4, '자세한 설명': 2, '청결': 2}","['친절', '자세한 설명', '청결']"
양지한의원,1.0,"친절,자세한 설명,대기시간",1,1.0,"{'친절': 2, '자세한 설명': 1, '대기시간': 1}","['친절', '자세한 설명', '대기시간']"
홍익치과의원,1.0,"친절,자세한 설명,비쌈",3,1.0,"{'친절': 4, '자세한 설명': 3, '비쌈': 2}","['친절', '자세한 설명', '비쌈']"
종암한의원,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 2, '자세한 설명': 2, '청결': 2}","['친절', '자세한 설명', '청결']"
바로본튼튼의원,1.0,친절,1,1.0,{'친절': 1},['친절']
박가정의원,1.0,"친절,불친절,대기시간",12,0.6666666666666666,"{'친절': 1, '불친절': 0, '대기시간': 1}","['친절', '대기시간']"
혜문한의원,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 4, '자세한 설명': 2, '청결': 2}","['친절', '자세한 설명', '청결']"
박상호의원,1.0,"친절,대기시간,시설",3,1.0,"{'친절': 2, '대기시간': 1, '시설': 1}","['친절', '대기시간', '시설']"
박경숙산부인과의원,1.0,"대기시간,친절,자세한 설명",6,1.0,"{'대기시간': 36, '친절': 31, '자세한 설명': 30}","['대기시간', '친절', '자세한 설명']"
보문한의원,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 2, '자세한 설명': 2, '청결': 2}","['친절', '자세한 설명', '청결']"
문미호소아과의원,1.0,"친절,자세한 설명,대기시간",11,1.0,"{'친절': 14, '자세한 설명': 7, '대기시간': 3}","['친절', '자세한 설명', '대기시간']"
맑은숲한의원 길음미아점,1.0,"친절,자세한 설명,청결",1,1.0,"{'친절': 6, '자세한 설명': 2, '청결': 2}","['친절', '자세한 설명', '청결']"
가산베스트치과의원,1.0,"자세한 설명,청결,친절",1,1.0,"{'자세한 설명': 4, '청결': 2, '친절': 6}","['자세한 설명', '청결', '친절']"
경아치과의원,1.0,"청결,자세한 설명,대기시간",3,1.0,"{'청결': 2, '자세한 설명': 1, '대기시간': 2}","['청결', '자세한 설명', '대기시간']"
보람성모내과의원,1.0,"친절,시설,추천",7,1.0,"{'친절': 7, '시설': 2, '추천': 2}","['친절', '시설', '추천']"
태안과의원,1.0,"대기시간,자세한 설명,친절",6,1.0,"{'대기시간': 33, '자세한 설명': 30, '친절': 40}","['대기시간', '자세한 설명', '친절']"
새하늘이비인후과의원,1.0,"대기시간,친절,청결",6,1.0,"{'대기시간': 28, '친절': 37, '청결': 9}","['대기시간', '친절', '청결']"
상계우리의원,1.0,자세한 설명,1,1.0,{'자세한 설명': 2},['자세한 설명']
새생명한의원,1.0,"자세한 설명,과잉진료,친절",1,1.0,"{'자세한 설명': 10, '과잉진료': 2, '친절': 8}","['자세한 설명', '과잉진료', '친절']"
김지호산부인과의원,0.5,"자세한 설명,대기시간,친절",3,1.0,"{'자세한 설명': 4, '대기시간': 3, '친절': 7}","['자세한 설명', '대기시간', '친절']"
서울스카이치과의원,0.5,"자세한 설명,친절,대기시간",2,1.0,"{'자세한 설명': 20, '친절': 12, '대기시간': 6}","['자세한 설명', '친절', '대기시간']"
선명한의원,0.5,"친절,시설,신속",13,1.0,"{'친절': 9, '시설': 1, '신속': 1}","['친절', '시설', '신속']"
김세진소아청소년과의원,0.5,"친절,자세한 설명,대기시간",2,1.0,"{'친절': 34, '자세한 설명': 32, '대기시간': 10}","['친절', '자세한 설명', '대기시간']"
서울모아치과의원,0.5,"친절,과잉진료,시설",3,1.0,"{'친절': 2, '과잉진료': 1, '시설': 1}","['친절', '과잉진료', '시설']"
예온정신건강의학과의원,0.5,"자세한 설명,대기시간,비쌈",2,1.0,"{'자세한 설명': 24, '대기시간': 12, '비쌈': 6}","['자세한 설명', '대기시간', '비쌈']"
미래의원,0.5,"친절,대기시간,청결",8,0.6666666666666666,"{'친절': 2, '대기시간': 0, '청결': 1}","['친절', '청결']"
토론토행복치과의원,0.5,"과잉진료,시설,친절",2,1.0,"{'과잉진료': 2, '시설': 5, '친절': 2}","['과잉진료', '시설', '친절']"
이철민치과의원,0.5,"친절,대기시간,청결",3,1.0,"{'친절': 21, '대기시간': 10, '청결': 4}","['친절', '대기시간', '청결']"
정치과의원,0.5,"과잉진료,친절,청결",2,1.0,"{'과잉진료': 6, '친절': 24, '청결': 18}","['과잉진료', '친절', '청결']"
로하셀한의원,0.5,"과잉진료,비쌈,친절",2,1.0,"{'과잉진료': 1, '비쌈': 5, '친절': 2}","['과잉진료', '비쌈', '친절']"
정성철정신건강의학과의원,0.5,"친절,자세한 설명,청결",2,1.0,"{'친절': 10, '자세한 설명': 8, '청결': 6}","['친절', '자세한 설명', '청결']"
동아의원,0.5,"대기시간,청결,친절",5,1.0,"{'대기시간': 4, '청결': 2, '친절': 9}","['대기시간', '청결', '친절']"
노원성모안과의원,0.5,"자세한 설명,친절,대기시간",8,1.0,"{'자세한 설명': 25, '친절': 43, '대기시간': 11}","['자세한 설명', '친절', '대기시간']"
박창후치과의원,0.5,"친절,저렴",2,1.0,"{'친절': 1, '저렴': 1}","['친절', '저렴']"
성신웰치과의원,0.5,"자세한 설명,대기시간,청결",2,1.0,"{'자세한 설명': 88, '대기시간': 14, '청결': 56}","['자세한 설명', '대기시간', '청결']"
세일정형외과의원,0.5,"친절,자세한 설명,대기시간",7,1.0,"{'친절': 25, '자세한 설명': 18, '대기시간': 6}","['친절', '자세한 설명', '대기시간']"
아산드림의원,0.5,"친절,청결,자세한 설명",2,1.0,"{'친절': 14, '청결': 8, '자세한 설명': 6}","['친절', '청결', '자세한 설명']"
에스엔케이의원,0.5,"자세한 설명,친절,과잉진료",2,1.0,"{'자세한 설명': 94, '친절': 114, '과잉진료': 6}","['자세한 설명', '친절', '과잉진료']"
소생한의원,0.5,"친절,대기시간,과잉진료",3,1.0,"{'친절': 17, '대기시간': 6, '과잉진료': 1}","['친절', '대기시간', '과잉진료']"
송내과의원,0.5,"대기시간,친절,자세한 설명",5,1.0,"{'대기시간': 12, '친절': 35, '자세한 설명': 23}","['대기시간', '친절', '자세한 설명']"
수치과의원,0.5,"자세한 설명,친절,과잉진료",2,1.0,"{'자세한 설명': 10, '친절': 8, '과잉진료': 2}","['자세한 설명', '친절', '과잉진료']"
예랑마취통증의학과의원,0.5,"친절,자세한 설명",5,1.0,"{'친절': 3, '자세한 설명': 2}","['친절', '자세한 설명']"
한마음가정의원,0.5,"친절,대기시간,청결",3,1.0,"{'친절': 4, '대기시간': 3, '청결': 1}","['친절', '대기시간', '청결']"
서울화이트치과의원,0.5,"친절,자세한 설명,대기시간",3,1.0,"{'친절': 2, '자세한 설명': 1, '대기시간': 1}","['친절', '자세한 설명', '대기시간']"
연세모아의원,0.0,"자세한 설명,청결,친절",2,1.0,"{'자세한 설명': 4, '청결': 3, '친절': 2}","['자세한 설명', '청결', '친절']"
아이맘정신건강의학과의원,0.0,,2,0.0,{'nan': 0},[]
연세부부의원,0.0,"대기시간,과잉진료,친절",2,1.0,"{'대기시간': 27, '과잉진료': 6, '친절': 63}","['대기시간', '과잉진료', '친절']"
JK의원,0.0,추천,2,1.0,{'추천': 1},['추천']
안의원,0.0,"청결,친절,자세한 설명",2,1.0,"{'청결': 60, '친절': 84, '자세한 설명': 64}","['청결', '친절', '자세한 설명']"
강안과의원,0.0,"대기시간,친절,자세한 설명",2,1.0,"{'대기시간': 11, '친절': 24, '자세한 설명': 15}","['대기시간', '친절', '자세한 설명']"
우리기쁜산부인과의원,0.0,"대기시간,친절,자세한 설명",2,1.0,"{'대기시간': 198, '친절': 639, '자세한 설명': 519}","['대기시간', '친절', '자세한 설명']"
오이비인후과의원,0.0,"대기시간,청결,자세한 설명",2,1.0,"{'대기시간': 22, '청결': 34, '자세한 설명': 52}","['대기시간', '청결', '자세한 설명']"
오승희산부인과의원,0.0,"자세한 설명,친절,대기시간",2,1.0,"{'자세한 설명': 7, '친절': 11, '대기시간': 5}","['자세한 설명', '친절', '대기시간']"
오제홍재활의학과의원,0.0,"자세한 설명,대기시간,청결",2,1.0,"{'자세한 설명': 96, '대기시간': 30, '청결': 63}","['자세한 설명', '대기시간', '청결']"
김영걸치과의원,0.0,"친절,추천,자세한 설명",2,1.0,"{'친절': 2, '추천': 2, '자세한 설명': 1}","['친절', '추천', '자세한 설명']"
구소아청소년과의원,0.0,"대기시간,친절,시설",4,1.0,"{'대기시간': 19, '친절': 9, '시설': 4}","['대기시간', '친절', '시설']"
JHW가인안과의원 강북센타,0.0,"대기시간,청결,자세한 설명",2,1.0,"{'대기시간': 20, '청결': 34, '자세한 설명': 54}","['대기시간', '청결', '자세한 설명']"
연세가정의학과,0.0,"친절,불친절,자세한 설명",2,0.6666666666666666,"{'친절': 28, '불친절': 0, '자세한 설명': 18}","['친절', '자세한 설명']"
신상윤내과의원,0.0,"자세한 설명,비쌈,불친절",2,1.0,"{'자세한 설명': 32, '비쌈': 8, '불친절': 2}","['자세한 설명', '비쌈', '불친절']"
한성한의원,0.0,"자세한 설명,친절,청결",2,1.0,"{'자세한 설명': 54, '친절': 54, '청결': 36}","['자세한 설명', '친절', '청결']"
수피부비뇨기과,0.0,친절,2,1.0,{'친절': 1},['친절']
연세우리정형외과의원,0.0,"자세한 설명,대기시간,비쌈",2,1.0,"{'자세한 설명': 90, '대기시간': 21, '비쌈': 6}","['자세한 설명', '대기시간', '비쌈']"
수정한의원,0.0,"친절,대기시간,자세한 설명",21,1.0,"{'친절': 11, '대기시간': 7, '자세한 설명': 3}","['친절', '대기시간', '자세한 설명']"
굿모닝치과의원,0.0,"대기시간,과잉진료,청결",2,1.0,"{'대기시간': 12, '과잉진료': 10, '청결': 28}","['대기시간', '과잉진료', '청결']"
성북치과의원,0.0,"친절,비쌈,대기시간",2,1.0,"{'친절': 5, '비쌈': 4, '대기시간': 3}","['친절', '비쌈', '대기시간']"
성북하선의원,0.0,"청결,친절,자세한 설명",2,1.0,"{'청결': 12, '친절': 18, '자세한 설명': 12}","['청결', '친절', '자세한 설명']"
