hospital_id,hospital_name,telephone,opening_hours,weekday_lunch,weekend_lunch,medical_subject,address
11955,최현주영상의학과의원,02-926-7500,"monday 09:00:00-18:00:00, tuesday 09:00:00-18:00:00, wednesday 09:00:00-18:00:00, thursday 09:00:00-13:00:00, friday 09:00:00-18:00:00, saturday 09:00:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"영상의학과, 내과, 외과, 산부인과",서울 성북구 동소문동6가 130 삼경빌딩 5층 1호
12223,햇살좋은안과의원,02-928-0075,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:30:00",13:00:00-14:00:00,13:00:00-14:00:00,"안과, 성형외과",서울 성북구 동소문동5가 67-1 강윤빌딩
12284,홍요한내과의원,02-911-2575,"monday 09:00:00-19:00:00, tuesday 09:00:00-19:00:00, wednesday 09:00:00-19:00:00, thursday 09:00:00-19:00:00, friday 09:00:00-19:00:00, saturday 09:00:00-15:00:00",12:40:00-13:40:00,12:40:00-13:40:00,"내과, 외과, 정형외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과, 예방의학과",서울 성북구 장위동 75-306
12295,홍치과의원,02-942-2800,"monday 10:00:00-18:00:00, tuesday 10:00:00-18:00:00, wednesday 10:00:00-18:00:00, friday 10:00:00-18:00:00, saturday 10:00:00-13:00:00",13:00:00-14:30:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 돈암동 625-1 1층
12324,효담한의원,02-924-1075,"monday 09:30:00-19:00:00, tuesday 09:30:00-21:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-21:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-16:00:00, holiday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 동소문동3가 16-2
12358,365경희길음한의원,02-915-1875,"monday 08:30:00-20:30:00, tuesday 08:30:00-20:30:00, wednesday 08:30:00-20:30:00, thursday 08:30:00-20:30:00, friday 08:30:00-20:30:00, saturday 08:30:00-16:30:00, sunday 08:30:00-16:30:00, holiday 08:30:00-16:30:00",00:00:00-00:00:00,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 길음동 1286 길음뉴타운 9단지 상가 1층 212호
12688,김기범이비인후과의원,02-927-2751,"monday 09:00:00-18:00:00, tuesday 09:00:00-18:00:00, wednesday 09:00:00-18:00:00, thursday 09:00:00-18:00:00, friday 09:00:00-18:00:00, saturday 09:00:00-13:00:00",12:00:00-14:00:00,00:00:00-00:00:00,이비인후과,서울 성북구 돈암동 609-1 한신아파트
12754,김정피부과의원,02-2117-1890,"monday 11:00:00-18:00:00, tuesday 11:00:00-18:00:00, wednesday 14:00:00-18:00:00, thursday 11:00:00-18:00:00, friday 11:00:00-18:00:00, saturday 10:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,피부과,서울 성북구 길음동 20-1 현대백화점미아점 10F
1279,서울명인치과의원,02-923-2080,"monday 09:30:00-18:30:00, tuesday 09:30:00-20:00:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-13:30:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",서울 성북구 동선동1가 110 한서빌딩 4층
12798,나은치과의원,02-922-2788,"monday 10:00:00-16:00:00, tuesday 10:00:00-16:00:00, thursday 10:00:00-16:00:00, friday 10:00:00-16:00:00, saturday 09:30:00-12:30:00",12:30:00-13:30:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 안암동2가 98-1
12915,닥터민치과의원,02-925-2879,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-21:00:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 안암동5가 101-19 세한빌딩
12966,대한치과의원,02-953-2875,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-18:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-13:00:00",12:30:00-14:00:00,12:30:00-14:00:00,치과,서울 성북구 보문동5가 6
12968,더(THE)꼼꼼한 치과의원,02-764-2804,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-20:00:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-13:00:00",12:30:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 동소문동2가 11 카프리빌딩
13026,동우미앤미치과의원,02-963-2876,"monday 09:30:00-19:00:00, tuesday 09:30:00-19:00:00, thursday 09:30:00-19:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-15:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 석관동 133-45 모아빌딩 3층
13162,맑은숲한의원,02-918-7588,"monday 09:30:00-19:00:00, tuesday 09:30:00-19:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-17:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-12:30:00",13:00:00-14:00:00,13:00:00-14:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 길음동 1283-4 길음뉴타운
13178,메이저피부과의원,02-927-1925,"monday 10:00:00-20:00:00, tuesday 10:30:00-20:00:00, wednesday 10:30:00-20:00:00, thursday 10:30:00-20:00:00, friday 10:30:00-20:00:00, saturday 10:00:00-16:00:00",13:00:00-14:00:00,00:00:00-00:00:00,피부과,서울 성북구 동소문동6가 117-2 보미빌딩 4층
13273,미소천사치과의원,02-911-2875,"monday 10:00:00-19:00:00, tuesday 10:00:00-19:00:00, wednesday 10:00:00-19:00:00, thursday 10:00:00-19:00:00, friday 10:00:00-19:00:00, saturday 10:00:00-14:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 장위동 316-3 센트럴타운근린생활시설
1338,서울윤치과의원,02-909-2877,"monday 10:00:00-18:00:00, tuesday 10:00:00-18:00:00, wednesday 10:00:00-18:00:00, thursday 10:00:00-18:00:00, friday 10:00:00-18:00:00, saturday 10:00:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 정릉동 16-169 지상4층
13543,사암늘쾌차한의원,02-742-3278,"monday 09:30:00-19:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-19:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-16:30:00",13:00:00-14:00:00,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 성북동1가 35-22 성북휴아름스튜디오 3층
13574,삼성손앤박이비인후과의원,02-975-8275,"monday 08:30:00-19:00:00, tuesday 08:30:00-19:00:00, wednesday 08:30:00-19:00:00, thursday 08:30:00-19:00:00, friday 08:30:00-19:00:00, saturday 08:30:00-15:00:00",13:00:00-14:00:00,,"이비인후과, 내과, 외과, 소아청소년과, 피부과",서울 성북구 종암동 3-1343 우영타워 2층
13671,서울드림재활의학과의원,02-917-9877,"monday 09:00:00-19:00:00, tuesday 09:00:00-19:00:00, wednesday 09:00:00-19:00:00, thursday 09:00:00-19:00:00, friday 09:00:00-19:00:00, saturday 09:00:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"재활의학과, 정형외과, 신경외과, 마취통증의학과",서울 성북구 하월곡동 27-119
13740,서울온샘치과의원,02-926-9386,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-21:00:00, thursday 09:30:00-18:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 종암동 87-4
13763,서울척병원,02-940-2000,"monday 09:00:00-18:00:00, tuesday 09:00:00-18:00:00, wednesday 09:00:00-18:00:00, thursday 09:00:00-18:00:00, friday 09:00:00-18:00:00, saturday 09:00:00-15:00:00",13:00:00-14:00:00,12:30:00-13:30:00,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과, 재활의학과",서울 성북구 길음동 21-72
13844,성신의원,02-983-6063,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-12:30:00",12:30:00-14:00:00,00:00:00-00:00:00,내과,서울 성북구 길음동 1278
1392,선우치과의원,02-922-7496,"monday 10:00:00-18:00:00, tuesday 10:00:00-18:00:00, wednesday 10:00:00-18:00:00, thursday 10:00:00-18:00:00, friday 10:00:00-18:00:00, saturday 10:00:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 동선동4가 7
13921,송치과의원,02-911-6822,"monday 09:30:00-19:00:00, tuesday 09:30:00-19:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-19:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 하월곡동 18-50
1395,선치과의원,02-921-4243,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-18:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 삼선동5가 324 삼선동5가
14050,아린정신건강의학과의원,02-989-7907,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 14:00:00-18:30:00, saturday 09:30:00-13:30:00",,00:00:00-00:00:00,정신건강의학과,서울 성북구 길음동 864-18 4층
14142,에이치엔비의원(하모니 앤 벨런스),02-923-5905,"monday 09:00:00-18:00:00, tuesday 09:00:00-18:00:00, wednesday 09:00:00-18:00:00, thursday 09:00:00-18:00:00, friday 09:00:00-18:00:00, saturday 09:00:00-13:00:00",13:00:00-14:00:00,13:00:00-13:30:00,"내과, 소아청소년과, 이비인후과, 피부과, 가정의학과","서울 성북구 안암동5가 101-53 지상2,3층 안암동5가, 서울 성북구"
14177,연세고마운치과의원,02-917-2828,"monday 09:30:00-20:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-20:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 10:00:00-14:00:00",00:00:00-00:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",서울 성북구 하월곡동 88-747
1473,세조의원,02-923-4159,"monday 09:00:00-18:00:00, tuesday 09:00:00-18:00:00, wednesday 09:00:00-18:00:00, thursday 09:00:00-18:00:00, friday 09:00:00-18:00:00, saturday 09:00:00-14:00:00",09:00:00-18:10:00,00:00:00-00:00:00,내과,서울 성북구 종암동 68-1
14789,재정한의원,02-943-6183,"monday 09:00:00-18:30:00, tuesday 09:00:00-18:30:00, wednesday 09:00:00-18:30:00, thursday 09:00:00-18:30:00, friday 09:00:00-18:30:00, saturday 09:00:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과, 한방응급",서울 성북구 정릉동 1025 정릉힐스테이트
14804,정릉부부치과의원,02-915-5797,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-18:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 정릉동 286-6 외환은행정릉지점
14893,종암한의원,02-912-2758,"monday 11:00:00-18:00:00, tuesday 11:00:00-18:00:00, wednesday 11:00:00-18:00:00, thursday 11:00:00-18:00:00, friday 11:00:00-18:00:00",,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과",서울 성북구 하월곡동 90-1133
149,경희강한의원,02-914-1700,"monday 09:30:00-20:00:00, tuesday 09:30:00-19:00:00, thursday 09:30:00-20:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-16:00:00, sunday 09:30:00-14:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 길음동 1284 길음뉴타운 래미안8단지상가 26호
14956,진성한의원,02-967-9059,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-18:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-14:00:00",12:30:00-13:30:00,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과, 한방응급",서울 성북구 석관동 304-27 진성한의원
15040,청수한의원,02-918-1431,"monday 09:30:00-19:00:00, tuesday 09:30:00-19:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-19:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-16:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과, 한방응급",서울 성북구 정릉동 372-7 청수한의원
15225,하나정신건강의학과의원,02-922-3075,"monday 09:00:00-18:30:00, tuesday 09:00:00-18:30:00, wednesday 09:00:00-18:30:00, thursday 14:00:00-18:30:00, friday 09:00:00-18:30:00, saturday 09:00:00-14:30:00",13:00:00-14:00:00,00:00:00-00:00:00,"정신건강의학과, 신경과",서울 성북구 동소문동6가 130 삼경빌딩 5층
15271,한림한의원,02-914-6589,"monday 09:30:00-19:00:00, tuesday 09:30:00-19:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-19:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-16:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과",서울 성북구 상월곡동 55-76
15792,길음한의원,02-943-1668,"monday 09:30:00-19:00:00, tuesday 09:30:00-20:30:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-17:00:00, friday 09:30:00-19:00:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,13:00:00-14:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과",서울 성북구 길음동 531-25 2층
1609,시카고치과의원,02-928-2898,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 정릉동 465-1 정릉빌딩
16189,리안치과의원,02-923-4703,"monday 09:00:00-12:00:00, tuesday 09:00:00-12:00:00, friday 09:00:00-12:00:00",00:00:00-00:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 동선동5가 134-2
16388,박상현소아청소년과의원,02-913-5700,"monday 09:00:00-19:00:00, tuesday 09:00:00-19:00:00, wednesday 09:00:00-19:00:00, thursday 09:00:00-19:00:00, friday 09:00:00-19:00:00, saturday 09:00:00-16:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"소아청소년과, 내과, 이비인후과, 피부과, 영상의학과",서울 성북구 정릉동 408-3 탐앤탐스건물 2층
16732,서울에이스치과의원,02-745-8692,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",서울 성북구 성북동 130-2 신한은행 2층
16780,서울효치과의원,02-6436-2828,"monday 09:30:00-21:00:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 정릉동 403-9
16789,석계고운이치과의원,02-962-2755,"monday 09:30:00-21:00:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-13:00:00, thursday 09:30:00-21:00:00, friday 09:30:00-18:30:00, saturday 09:30:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 석관동 133-1 석계중앙치과
16792,석관서울좋은치과의원,02-963-1485,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-20:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,치과,서울 성북구 석관동 348-1 세일타운의류도매
16841,성북이엔이치과의원,02-2117-1898,"monday 10:30:00-19:00:00, tuesday 10:30:00-19:00:00, wednesday 10:30:00-19:00:00, thursday 10:30:00-19:00:00, friday 10:30:00-19:00:00, saturday 10:30:00-19:00:00, sunday 10:30:00-19:00:00, holiday 10:30:00-19:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"치과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",서울 성북구 길음동 20-1 현대백화점미아점 10F
17247,연세수내과의원,02-923-6500,"monday 09:00:00-18:00:00, tuesday 09:00:00-18:00:00, wednesday 09:00:00-18:00:00, thursday 09:00:00-18:00:00, friday 09:00:00-18:00:00, sunday 09:00:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,내과,서울 성북구 동소문동6가 133-1 기업은행3층
17458,우리연세재활의학과의원,02-943-7515,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 14:00:00-20:00:00, friday 09:30:00-18:30:00, saturday 09:30:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"재활의학과, 내과, 신경과, 외과, 정형외과, 신경외과, 안과, 피부과, 비뇨의학과, 가정의학과",서울 성북구 장위동 203-4 닥터빌딩 3층
1748,양지한의원,02-953-7777,"monday 09:30:00-18:00:00, tuesday 09:30:00-18:00:00, wednesday 09:30:00-18:00:00, thursday 09:30:00-18:00:00, friday 09:30:00-18:00:00, saturday 09:30:00-13:00:00",,00:00:00-00:00:00,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과, 한방재활의학과, 사상체질과, 한방응급",서울 성북구 종암동 124-8 2층
17545,유시원마취통증의학과의원,02-911-6611,"monday 09:00:00-18:30:00, tuesday 09:00:00-18:30:00, wednesday 09:00:00-18:30:00, thursday 09:00:00-18:30:00, friday 09:00:00-18:30:00, saturday 09:00:00-13:30:00",13:00:00-14:00:00,00:00:00-00:00:00,"마취통증의학과, 내과, 신경과, 정형외과, 소아청소년과, 안과, 이비인후과, 피부과, 재활의학과, 가정의학과",서울 성북구 종암동 3-686 시원빌딩
17564,윤영근내과의원,02-941-0035,"monday 08:30:00-18:30:00, tuesday 08:30:00-18:30:00, wednesday 08:30:00-18:30:00, thursday 08:30:00-18:30:00, friday 08:30:00-18:30:00, saturday 08:30:00-14:00:00",12:30:00-13:30:00,12:30:00-13:30:00,내과,서울 성북구 하월곡동 16-16
1760,에스엔케이의원,02-917-7100,"monday 09:30:00-19:00:00, tuesday 09:30:00-20:00:00, wednesday 09:30:00-19:00:00, thursday 09:30:00-19:00:00, friday 09:30:00-20:00:00, saturday 09:30:00-14:30:00",,,피부과,서울 성북구 길음동 530-17
1761,에스유마취통증의학과의원,02-936-7553,"monday 09:30:00-18:30:00, tuesday 09:30:00-18:30:00, wednesday 09:30:00-18:30:00, thursday 09:30:00-18:30:00, friday 09:30:00-18:30:00, saturday 09:00:00-13:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"마취통증의학과, 내과, 정형외과, 신경외과, 재활의학과",서울 성북구 장위동 237-247
17658,이라소아청소년과의원,02-928-8288,"monday 08:00:00-18:00:00, tuesday 08:00:00-18:00:00, wednesday 08:00:00-13:00:00, thursday 08:00:00-18:00:00, friday 08:00:00-18:00:00, saturday 08:00:00-14:00:00",13:00:00-14:00:00,00:00:00-00:00:00,"소아청소년과, 내과, 이비인후과, 피부과","서울 성북구 삼선동4가 336 2층 삼선동4가, 논현빌딩, 서울 성북구"
